title,avg_rating,num_ratings
"Crazy, Stupid, Love. (2011)",3.9838709677419355,93
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3.983050847457627,531
Argo (2012),3.982142857142857,56
Donnie Darko (2001),3.981651376146789,436
Strangers on a Train (1951),3.98,100
Edge of Tomorrow (2014),3.977272727272727,132
"Sting, The (1973)",3.9765625,128
Seven (a.k.a. Se7en) (1995),3.9753694581280787,406
Dawn of the Dead (1978),3.975,60
28 Days Later (2002),3.9741379310344827,174
"Christmas Story, A (1983)",3.9727272727272727,110
Terminator 2: Judgment Day (1991),3.970982142857143,448
"African Queen, The (1951)",3.9705882352941178,136
Alien (1979),3.969178082191781,292
Moon (2009),3.96875,128
"Dirty Dozen, The (1967)",3.96875,96
Fear and Loathing in Las Vegas (1998),3.967391304347826,138
Aliens (1986),3.9642857142857144,504
"Apartment, The (1960)",3.962962962962963,81
Kill Bill: Vol. 1 (2003),3.9618320610687023,393
Go (1999),3.9615384615384617,78
Finding Nemo (2003),3.9609929078014185,564
My Neighbor Totoro (Tonari no Totoro) (1988),3.9594594594594597,148
Dead Poets Society (1989),3.9593023255813953,86
Princess Mononoke (Mononoke-hime) (1997),3.9583333333333335,240
"Town, The (2010)",3.9545454545454546,66
Being John Malkovich (1999),3.9545454545454546,297
Gattaca (1997),3.953488372093023,258
Limitless (2011),3.95,60
"Player, The (1992)",3.9473684210526314,114
Heat (1995),3.946078431372549,306
Adaptation (2002),3.9456521739130435,138
Gran Torino (2008),3.9456521739130435,92
Blue Velvet (1986),3.9456521739130435,138
Children of Men (2006),3.9453125,320
Casino Royale (2006),3.9444444444444446,243
Rashomon (Rashômon) (1950),3.9444444444444446,54
Groundhog Day (1993),3.944055944055944,429
Django Unchained (2012),3.943661971830986,213
Butch Cassidy and the Sundance Kid (1969),3.943548387096774,124
How to Train Your Dragon (2010),3.943396226415094,265
"Lion King, The (1994)",3.941860465116279,1032
Ben-Hur (1959),3.9411764705882355,102
Serenity (2005),3.94,150
"Girl with the Dragon Tattoo, The (Män som hatar kvinnor) (2009)",3.94,100
Like Water for Chocolate (Como agua para chocolate) (1992),3.9393939393939394,99
"Untouchables, The (1987)",3.9384615384615387,195
Gladiator (2000),3.9382352941176473,510
"Sound of Music, The (1965)",3.9375,128
"Fistful of Dollars, A (Per un pugno di dollari) (1964)",3.9358974358974357,78
Blazing Saddles (1974),3.935483870967742,124
M*A*S*H (a.k.a. MASH) (1970),3.9347826086956523,138
Dog Day Afternoon (1975),3.9342105263157894,76
"Thing, The (1982)",3.933333333333333,180
Battle Royale (Batoru rowaiaru) (2000),3.933333333333333,120
Scarface (1983),3.9328358208955225,201
Monty Python's Life of Brian (1979),3.9269662921348316,89
Casino (1995),3.926829268292683,164
Guardians of the Galaxy 2 (2017),3.925925925925926,81
Rogue One: A Star Wars Story (2016),3.925925925925926,108
"Big Lebowski, The (1998)",3.9245283018867925,212
Say Anything... (1989),3.923076923076923,117
"Fish Called Wanda, A (1988)",3.9225352112676055,142
Requiem for a Dream (2000),3.921875,96
Catch Me If You Can (2002),3.9217391304347826,230
Hero (Ying xiong) (2002),3.9210526315789473,114
Toy Story (1995),3.9209302325581397,1075
Her (2013),3.92,75
"Wolf of Wall Street, The (2013)",3.9166666666666665,162
Crimes and Misdemeanors (1989),3.9166666666666665,54
Tangled (2010),3.9166666666666665,168
Dr. Horrible's Sing-Along Blog (2008),3.9166666666666665,96
Harry Potter and the Prisoner of Azkaban (2004),3.913978494623656,279
Emma (1996),3.912087912087912,91
Let the Right One In (Låt den rätte komma in) (2008),3.911764705882353,68
Ex Machina (2015),3.9107142857142856,84
Harry Potter and the Deathly Hallows: Part 2 (2011),3.91,300
Dawn of the Dead (2004),3.90625,64
American Gangster (2007),3.9054054054054053,111
The Revenant (2015),3.903225806451613,62
"Last Samurai, The (2003)",3.903225806451613,248
Into the Wild (2007),3.902439024390244,123
Deliverance (1972),3.9,90
Secretary (2002),3.9,75
Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001),3.9,80
Traffic (2000),3.9,210
No Country for Old Men (2007),3.8984375,128
"Terminator, The (1984)",3.8969465648854964,393
Wallace & Gromit: A Close Shave (1995),3.8958333333333335,144
2001: A Space Odyssey (1968),3.8944954128440368,327
"Sixth Sense, The (1999)",3.893854748603352,537
"Gods Must Be Crazy, The (1980)",3.892857142857143,56
Porco Rosso (Crimson Pig) (Kurenai no buta) (1992),3.892857142857143,70
Zootopia (2016),3.890625,160
Crash (2004),3.89,100
Harry Potter and the Half-Blood Prince (2009),3.8879310344827585,290
Mary Poppins (1964),3.887323943661972,284
"Social Network, The (2010)",3.8859649122807016,57
V for Vendetta (2006),3.885,400
Little Miss Sunshine (2006),3.883116883116883,231
"Wizard of Oz, The (1939)",3.880434782608696,368
Arsenic and Old Lace (1944),3.8793103448275863,87
Star Trek: First Contact (1996),3.879120879120879,364
Zombieland (2009),3.8773584905660377,159
Equilibrium (2002),3.875,132
Willy Wonka & the Chocolate Factory (1971),3.8739495798319328,476
"Hunt for Red October, The (1990)",3.8722222222222222,270
"French Connection, The (1971)",3.871794871794872,117
"Monsters, Inc. (2001)",3.871212121212121,660
The Lego Movie (2014),3.870967741935484,186
Annie Hall (1977),3.8706896551724137,116
The Hunger Games: Mockingjay - Part 1 (2014),3.869565217391304,69
"Avengers, The (2012)",3.869565217391304,276
"Professional, The (Le professionnel) (1981)",3.8684210526315788,57
Kill Bill: Vol. 2 (2004),3.868181818181818,330
Ratatouille (2007),3.8680555555555554,216
Shrek (2001),3.8676470588235294,1020
Almost Famous (2000),3.8674698795180724,83
21 Jump Street (2012),3.8653846153846154,78
Star Trek (2009),3.864406779661017,236
eXistenZ (1999),3.8636363636363638,66
Superbad (2007),3.8636363636363638,55
Batman Begins (2005),3.8620689655172415,348
Harry Potter and the Order of the Phoenix (2007),3.8620689655172415,232
Die Hard (1988),3.8620689655172415,435
"South Park: Bigger, Longer and Uncut (1999)",3.861842105263158,228
Toy Story 2 (1999),3.8608247422680413,485
Shooter (2007),3.86,75
Out of Sight (1998),3.859375,160
When Harry Met Sally... (1989),3.8588235294117648,170
Big Trouble in Little China (1986),3.857142857142857,112
Sin City (2005),3.857142857142857,420
Airplane! (1980),3.8563218390804597,87
Clerks (1994),3.855769230769231,104
Lucky Number Slevin (2006),3.8552631578947367,114
Big Hero 6 (2014),3.8536585365853657,123
Star Wars: Episode VII - The Force Awakens (2015),3.8536585365853657,205
Sherlock Holmes (2009),3.853448275862069,232
Pi (1998),3.851063829787234,141
American Graffiti (1973),3.8488372093023258,86
Breakfast at Tiffany's (1961),3.8472222222222223,72
Million Dollar Baby (2004),3.8461538461538463,52
Apollo 13 (1995),3.845771144278607,603
John Wick (2014),3.8448275862068964,58
Ocean's Eleven (2001),3.8445378151260505,238
Mulholland Drive (2001),3.843137254901961,255
Misery (1990),3.840909090909091,132
Goldfinger (1964),3.839622641509434,159
Ferris Bueller's Day Off (1986),3.8394495412844036,109
"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",3.8363636363636364,330
"Incredibles, The (2004)",3.836,625
Dead Man Walking (1995),3.8358208955223883,134
Dances with Wolves (1990),3.8353658536585367,492
"Last of the Mohicans, The (1992)",3.8333333333333335,156
Deadpool (2016),3.8333333333333335,216
X-Men: Days of Future Past (2014),3.8333333333333335,90
Big Fish (2003),3.8333333333333335,207
Fantasia 2000 (1999),3.8333333333333335,60
Delicatessen (1991),3.8333333333333335,63
127 Hours (2010),3.8333333333333335,54
"Jungle Book, The (1967)",3.830188679245283,212
The Count of Monte Cristo (2002),3.828125,128
Rocky (1976),3.828125,64
Caddyshack (1980),3.826923076923077,52
"Deer Hunter, The (1978)",3.8255813953488373,86
Iron Man (2008),3.824468085106383,282
Dark City (1998),3.8229166666666665,192
Labyrinth (1986),3.8214285714285716,126
"Day the Earth Stood Still, The (1951)",3.82,75
Mad Max: Fury Road (2015),3.8191489361702127,188
"Evil Dead, The (1981)",3.8181818181818183,66
"Omen, The (1976)",3.8181818181818183,66
"Bourne Identity, The (2002)",3.8169642857142856,336
Harry Potter and the Goblet of Fire (2005),3.816901408450704,284
Battlestar Galactica (2003),3.8157894736842106,57
Layer Cake (2004),3.8157894736842106,57
Tombstone (1993),3.8153846153846156,195
"Pan's Labyrinth (Laberinto del fauno, El) (2006)",3.814814814814815,243
Inside Out (2015),3.813953488372093,258
Much Ado About Nothing (1993),3.813953488372093,86
Blow (2001),3.8137254901960786,102
"Hobbit: An Unexpected Journey, The (2012)",3.8125,120
"Truman Show, The (1998)",3.812,375
Lilo & Stitch (2002),3.810344827586207,116
Black Hawk Down (2001),3.81,150
Skyfall (2012),3.81,200
Slumdog Millionaire (2008),3.8098591549295775,213
"Blues Brothers, The (1980)",3.8095238095238093,252
Munich (2005),3.8095238095238093,84
"O Brother, Where Art Thou? (2000)",3.8085106382978724,282
Charade (1963),3.8076923076923075,65
Rain Man (1988),3.8072916666666665,96
"Fisher King, The (1991)",3.8055555555555554,144
Hellboy II: The Golden Army (2008),3.8055555555555554,72
Duck Soup (1933),3.8043478260869565,69
Spider-Man 2 (2004),3.8037974683544302,316
Planet of the Apes (1968),3.8035714285714284,168
"Good Morning, Vietnam (1987)",3.802325581395349,129
"Exorcist, The (1973)",3.80188679245283,106
Inside Man (2006),3.8,120
True Romance (1993),3.8,130
"Motorcycle Diaries, The (Diarios de motocicleta) (2004)",3.7962962962962963,54
Easy A (2010),3.7962962962962963,54
"Simple Plan, A (1998)",3.7954545454545454,66
Planet Terror (2007),3.7954545454545454,66
Stripes (1981),3.7941176470588234,68
Training Day (2001),3.7941176470588234,153
Aladdin (1992),3.7923497267759565,915
Hotel Rwanda (2004),3.7916666666666665,96
Rise of the Guardians (2012),3.7916666666666665,60
X-Men: First Class (2011),3.7906976744186047,215
"Few Good Men, A (1992)",3.789473684210526,171
American Psycho (2000),3.788135593220339,236
Love Actually (2003),3.788135593220339,177
"Bourne Supremacy, The (2004)",3.7866666666666666,225
Fantasia (1940),3.7830188679245285,212
Bottle Rocket (1996),3.782608695652174,92
"Illusionist, The (2006)",3.7790697674418605,172
"Grand Budapest Hotel, The (2014)",3.7788461538461537,104
"Breakfast Club, The (1985)",3.7787610619469025,226
Pirates of the Caribbean: The Curse of the Black Pearl (2003),3.778523489932886,596
Shakespeare in Love (1998),3.777173913043478,276
District 9 (2009),3.776923076923077,195
Sense and Sensibility (1995),3.7761194029850746,134
Moonrise Kingdom (2012),3.7758620689655173,87
Bowling for Columbine (2002),3.7758620689655173,58
Ghostbusters (a.k.a. Ghost Busters) (1984),3.775,360
Dirty Harry (1971),3.775,60
Anchorman: The Legend of Ron Burgundy (2004),3.7719298245614037,57
Beauty and the Beast (1991),3.7705479452054793,876
Forgetting Sarah Marshall (2008),3.769230769230769,78
Juno (2007),3.769230769230769,195
Ninja Scroll (Jûbei ninpûchô) (1995),3.769230769230769,52
"Guns of Navarone, The (1961)",3.769230769230769,52
"Virgin Suicides, The (1999)",3.769230769230769,52
Sabrina (1954),3.7666666666666666,60
E.T. the Extra-Terrestrial (1982),3.7663934426229506,366
What's Eating Gilbert Grape (1993),3.7662337662337664,77
Star Trek II: The Wrath of Khan (1982),3.7661290322580645,248
Drive (2011),3.765625,128
Blood Diamond (2006),3.7641509433962264,318
Sherlock Holmes: A Game of Shadows (2011),3.763157894736842,228
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),3.7616822429906542,321
Collateral (2004),3.7613636363636362,176
"Full Monty, The (1997)",3.7589285714285716,112
"Madness of King George, The (1994)",3.7580645161290325,62
Walk the Line (2005),3.7564102564102564,117
Night of the Living Dead (1968),3.75,84
From Russia with Love (1963),3.75,108
Sleeper (1973),3.75,56
Hugo (2011),3.75,54
21 (2008),3.75,72
"Secret of Roan Inish, The (1994)",3.75,64
"Princess and the Frog, The (2009)",3.75,60
Three Days of the Condor (3 Days of the Condor) (1975),3.75,64
"Name of the Rose, The (Name der Rose, Der) (1986)",3.75,72
Jurassic Park (1993),3.75,952
"Fifth Element, The (1997)",3.7456896551724137,464
Sideways (2004),3.7435897435897436,117
Akira (1988),3.7435897435897436,156
Captain America: The Winter Soldier (2014),3.7419354838709675,124
"Insider, The (1999)",3.7419354838709675,62
Close Encounters of the Third Kind (1977),3.7416666666666667,180
Donnie Brasco (1997),3.7403846153846154,104
Carlito's Way (1993),3.738095238095238,84
Cloud Atlas (2012),3.736842105263158,57
"Muppet Christmas Carol, The (1992)",3.736842105263158,57
Time Bandits (1981),3.731707317073171,164
"Purple Rose of Cairo, The (1985)",3.730769230769231,52
Highlander (1986),3.7291666666666665,144
Chicago (2002),3.7244897959183674,196
X2: X-Men United (2003),3.723684210526316,304
Idiocracy (2006),3.7222222222222223,72
William Shakespeare's Romeo + Juliet (1996),3.7222222222222223,72
Ant-Man (2015),3.7222222222222223,81
Matchstick Men (2003),3.7205882352941178,102
Modern Times (1936),3.72,75
Big (1988),3.71978021978022,364
Up in the Air (2009),3.71875,64
Sweeney Todd: The Demon Barber of Fleet Street (2007),3.716666666666667,120
Silver Linings Playbook (2012),3.716666666666667,60
Gone Girl (2014),3.7162162162162162,74
"Emperor's New Groove, The (2000)",3.7162162162162162,185
About a Boy (2002),3.715909090909091,132
Boiler Room (2000),3.7142857142857144,63
Lord of War (2005),3.7142857142857144,175
Dr. No (1962),3.712121212121212,99
Mystic River (2003),3.7115384615384617,156
"Lost Boys, The (1987)",3.7115384615384617,78
Magnolia (1999),3.7115384615384617,52
"English Patient, The (1996)",3.7111111111111112,135
Three Kings (1999),3.7111111111111112,225
Zodiac (2007),3.710526315789474,114
Garden State (2004),3.7083333333333335,144
Mr. Holland's Opus (1995),3.70625,80
"Triplets of Belleville, The (Les triplettes de Belleville) (2003)",3.7045454545454546,66
Doctor Strange (2016),3.7045454545454546,66
Scott Pilgrim vs. the World (2010),3.7045454545454546,220
Gosford Park (2001),3.7037037037037037,81
"Game, The (1997)",3.7012987012987013,231
Edward Scissorhands (1990),3.7,240
"Animatrix, The (2003)",3.7,80
Coraline (2009),3.7,105
Cast Away (2000),3.7,100
Bill & Ted's Excellent Adventure (1989),3.7,135
X-Men (2000),3.699248120300752,399
Jackie Brown (1997),3.6979166666666665,144
As Good as It Gets (1997),3.6979166666666665,288
"Bourne Ultimatum, The (2007)",3.697530864197531,243
Live and Let Die (1973),3.6956521739130435,69
Swingers (1996),3.6944444444444446,72
Animal House (1978),3.693548387096774,62
Stranger than Fiction (2006),3.6931818181818183,176
In the Line of Fire (1993),3.692857142857143,140
Madagascar: Escape 2 Africa (2008),3.6923076923076925,78
Elf (2003),3.6923076923076925,117
Best in Show (2000),3.688679245283019,53
Ice Age (2002),3.6882352941176473,340
Better Off Dead... (1985),3.685185185185185,54
Star Trek Into Darkness (2013),3.685185185185185,108
22 Jump Street (2014),3.6842105263157894,57
Despicable Me (2010),3.6842105263157894,152
Waking Life (2001),3.6842105263157894,57
"Royal Tenenbaums, The (2001)",3.6838235294117645,136
Identity (2003),3.6818181818181817,88
300 (2007),3.68125,320
Ed Wood (1994),3.6785714285714284,140
Pineapple Express (2008),3.6774193548387095,93
Enchanted (2007),3.676470588235294,119
Jarhead (2005),3.676470588235294,51
There's Something About Mary (1998),3.676190476190476,210
Lethal Weapon (1987),3.6733333333333333,300
"American President, The (1995)",3.6714285714285713,210
Bull Durham (1988),3.6714285714285713,105
(500) Days of Summer (2009),3.6666666666666665,126
High Fidelity (2000),3.6666666666666665,225
Election (1999),3.6607142857142856,56
Mission: Impossible - Ghost Protocol (2011),3.659090909090909,88
"Time to Kill, A (1996)",3.657142857142857,70
"Treasure of the Sierra Madre, The (1948)",3.65625,64
Knocked Up (2007),3.6538461538461537,156
Total Recall (1990),3.653409090909091,352
Contact (1997),3.652439024390244,164
Babe (1995),3.65234375,256
Kick-Ass (2010),3.6511627906976742,86
Witness (1985),3.65,120
From Hell (2001),3.65,80
Something's Gotta Give (2003),3.6470588235294117,51
Mission: Impossible - Rogue Nation (2015),3.6470588235294117,51
"Thomas Crown Affair, The (1999)",3.6458333333333335,96
Dogma (1999),3.6455696202531644,237
Gone with the Wind (1939),3.6444444444444444,135
Sunshine (2007),3.642857142857143,56
Primal Fear (1996),3.642857142857143,140
What Dreams May Come (1998),3.642857142857143,56
Looper (2012),3.640625,96
"Rock, The (1996)",3.6404958677685952,363
King Kong (1933),3.64,100
Indiana Jones and the Temple of Doom (1984),3.638888888888889,324
Master and Commander: The Far Side of the World (2003),3.638888888888889,108
Minority Report (2002),3.6375,600
Midnight Run (1988),3.6363636363636362,88
Crimson Tide (1995),3.6359223300970873,309
The Hunger Games: Catching Fire (2013),3.6346153846153846,104
Wallace & Gromit in The Curse of the Were-Rabbit (2005),3.6333333333333333,120
"Hangover, The (2009)",3.6315789473684212,152
Black Swan (2010),3.630952380952381,84
Confessions of a Dangerous Mind (2002),3.6307692307692307,65
The Butterfly Effect (2004),3.630434782608696,138
"Grifters, The (1990)",3.6296296296296298,81
Life of Pi (2012),3.629032258064516,93
Man on Fire (2004),3.6285714285714286,175
"Others, The (2001)",3.6272727272727274,220
Leaving Las Vegas (1995),3.625,152
Bridget Jones's Diary (2001),3.623076923076923,195
Punch-Drunk Love (2002),3.621212121212121,99
Frozen (2013),3.6206896551724137,174
"Simpsons Movie, The (2007)",3.619565217391304,92
Ever After: A Cinderella Story (1998),3.619047619047619,63
Taken (2008),3.619047619047619,168
"Italian Job, The (2003)",3.6186440677966103,118
Rango (2011),3.6176470588235294,102
Snow White and the Seven Dwarfs (1937),3.616883116883117,385
Captain America: Civil War (2016),3.6136363636363638,66
"Scanner Darkly, A (2006)",3.6136363636363638,110
Philadelphia (1993),3.6136363636363638,66
Don Juan DeMarco (1995),3.6125,120
Grosse Pointe Blank (1997),3.610169491525424,177
"Crow, The (1994)",3.609375,256
Pacific Rim (2013),3.607142857142857,56
Superman (1978),3.6065573770491803,183
Apocalypto (2006),3.6052631578947367,57
Clear and Present Danger (1994),3.6045454545454545,440
Super Troopers (2001),3.6041666666666665,72
Easy Rider (1969),3.603448275862069,58
Avatar (2009),3.6030927835051547,388
Source Code (2011),3.6029411764705883,170
Stardust (2007),3.6029411764705883,136
West Side Story (1961),3.6029411764705883,102
"Birds, The (1963)",3.602272727272727,88
Sixteen Candles (1984),3.6020408163265305,98
Megamind (2010),3.6,120
Shallow Grave (1994),3.6,60
Harry Potter and the Chamber of Secrets (2002),3.5980392156862746,204
"Adventures of Priscilla, Queen of the Desert, The (1994)",3.5972222222222223,72
Super 8 (2011),3.5952380952380953,84
28 Weeks Later (2007),3.5952380952380953,63
"Curious Case of Benjamin Button, The (2008)",3.5945945945945947,148
Jerry Maguire (1996),3.5941176470588236,170
Moulin Rouge (2001),3.590909090909091,165
"Muppet Movie, The (1979)",3.590909090909091,132
Mission: Impossible III (2006),3.5892857142857144,84
"Man with the Golden Gun, The (1974)",3.5833333333333335,54
Predator (1987),3.581967213114754,183
"NeverEnding Story, The (1984)",3.5813953488372094,129
"Sword in the Stone, The (1963)",3.58,100
"Hobbit: The Desolation of Smaug, The (2013)",3.58,75
Galaxy Quest (1999),3.58,225
Despicable Me 2 (2013),3.5789473684210527,76
Gravity (2013),3.578125,96
Chasing Amy (1997),3.576923076923077,156
Spartacus (1960),3.576923076923077,52
Shrek 2 (2004),3.5760869565217392,552
First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996),3.575,80
"Fox and the Hound, The (1981)",3.575,60
Peter Pan (1953),3.573170731707317,164
